Symbol,Name,Price (Intraday),Change,% Change,PE Ratio (TTM)
BHG.JO,BHP Group Limited,50720.00,-790.00,-0.02,1491.38
PRX.JO,Prosus N.V.,116520.00,1020.00,0.01,607.75
ANH.JO,Anheuser-Busch InBev SA/NV,94313.00,727.00,0.01,2499.46
BTI.JO,British American Tobacco p.l.c.,70483.00,403.00,0.01,1152.91
CFR.JO,Compagnie Financière Richemont SA,21870.00,670.00,0.03,3042.21
GLN.JO,Glencore plc,8825.00,245.00,0.03,3858.96
AGL.JO,Anglo American plc,72235.00,-767.00,-0.01,875.00
AMS.JO,Anglo American Platinum Limited,191044.00,-2181.00,-0.01,715.59
NPN.JO,Naspers Limited,230859.00,2140.00,0.01,429.44
ABSP.JO,Absa Bank Limited,83700.00,-300.00,0.00,4665.29
FSR.JO,FirstRand Limited,6575.00,197.00,0.03,1379.53
MTN.JO,MTN Group Limited,18351.00,-393.00,-0.02,4434.82
SBK.JO,Standard Bank Group Limited,16064.00,606.00,0.04,1280.93
VOD.JO,Vodacom Group Limited,14965.00,136.00,0.01,1614.88
CPI.JO,Capitec Bank Holdings Limited,208110.00,-3227.00,-0.02,3111.67
S32.JO,South32 Limited,4880.00,-70.00,-0.01,N/A
KIO.JO,Kumba Iron Ore Limited,66092.00,-1035.00,-0.02,564.89
SOLBE1.JO,Sasol Limited,16900.00,0.00,0.00,1174.43
SOL.JO,Sasol Limited,32171.00,-1760.00,-0.05,2229.81
MNP.JO,Mondi plc,39096.00,926.00,0.02,1884.71
IMP.JO,Impala Platinum Holdings Limited,23312.00,-615.00,-0.03,391.20
CPIP.JO,Capitec Bank Holdings Limited,11000.00,0.00,0.00,164.36
SSW.JO,Sibanye Stillwater Limited,5856.00,-304.00,-0.05,378.39
GFI.JO,Gold Fields Limited,17997.00,-447.00,-0.02,1120.41
ABG.JO,Absa Group Limited,17938.00,361.00,0.02,1097.19
SLM.JO,Sanlam Limited,6607.00,96.00,0.01,1373.31
ANG.JO,AngloGold Ashanti Limited,31835.00,-465.00,-0.01,984.76
SHP.JO,Shoprite Holdings Limited,22754.00,519.00,0.02,2602.63
BID.JO,Bid Corporation Limited,33460.00,479.00,0.01,3625.43
DSY.JO,Discovery Limited,16347.00,197.00,0.01,3436.90
NED.JO,Nedbank Group Limited,21476.00,816.00,0.04,1424.38
INPP.JO,Investec plc,10700.00,0.00,0.00,16212.12
DSBP.JO,Discovery Limited,9640.00,0.00,0.00,2027.77
APN.JO,Aspen Pharmacare Holdings Limited,20701.00,457.00,0.02,1966.47
PPH.JO,Pepkor Holdings Limited,2336.00,63.00,0.03,1785.93
NPH.JO,Northam Platinum Holdings Limited,20995.00,-77.00,0.00,830.12
REM.JO,Remgro Limited,13798.00,408.00,0.03,2207.19
RMI.JO,Rand Merchant Investment Holdings Limited,4927.00,37.00,0.01,2614.32
CLS.JO,Clicks Group Limited,30215.00,349.00,0.01,4060.63
BVT.JO,The Bidvest Group Limited,20908.00,-292.00,-0.01,1849.00
EXX.JO,Exxaro Resources Limited,19376.00,161.00,0.01,434.21
OMU.JO,Old Mutual Limited,1380.00,18.00,0.01,1735.52
NRP.JO,NEPI Rockcastle plc,10655.00,128.00,0.01,2480.44
INP.JO,Investec Group,8979.00,-61.00,-0.01,1070.50
RNI.JO,Reinet Investments S.C.A.,32050.00,60.00,0.00,1232.08
MRP.JO,Mr Price Group Limited,21638.00,247.00,0.01,1882.62
MCG.JO,MultiChoice Group Limited,12910.00,386.00,0.03,5283.61
MEI.JO,Mediclinic International plc,6978.00,131.00,0.02,2103.99
WHL.JO,Woolworths Holdings Limited,5320.00,-11.00,0.00,1240.73
N91.JO,Ninety One Group,5520.00,112.00,0.02,1335.59
NY1.JO,Ninety One Group,5500.00,134.00,0.03,1330.75
GRT.JO,Growthpoint Properties Limited,1431.00,28.00,0.02,N/A
ARI.JO,African Rainbow Minerals Limited,24746.00,-743.00,-0.03,386.72
QLT.JO,Quilter plc,2900.00,29.00,0.01,3737.11
RBP.JO,Royal Bafokeng Platinum Limited,15986.00,-274.00,-0.02,593.94
TFG.JO,The Foschini Group Limited,13391.50,189.50,0.01,N/A
DGH.JO,Distell Group Holdings Limited,17062.00,17.00,0.00,1943.72
VVO.JO,Vivo Energy plc,2700.00,-4.00,0.00,1610.98
LHC.JO,Life Healthcare Group Holdings Limited,2395.00,62.00,0.03,1990.86
HMN.JO,Hammerson plc,764.00,5.00,0.01,N/A
HAR.JO,Harmony Gold Mining Company Limited,5544.00,-311.00,-0.05,672.73
SPP.JO,The SPAR Group Ltd,17537.00,487.00,0.03,1493.10
TCP.JO,Transaction Capital Limited,4612.00,135.00,0.03,1378.02
TBS.JO,Tiger Brands Limited,17798.00,446.00,0.03,1575.13
DCP.JO,Dis-Chem Pharmacies Limited,3656.00,-6.00,0.00,4053.22
SRE.JO,Sirius Real Estate Limited,2743.00,16.00,0.01,1063.57
CCO.JO,Capital & Counties Properties PLC,3450.00,-32.00,-0.01,N/A
SAP.JO,Sappi Limited,5291.00,-183.00,-0.03,1331.74
SNT.JO,Santam Ltd,26834.00,-81.00,0.00,2027.04
BAW.JO,Barloworld Limited,14395.00,-80.00,-0.01,1046.30
TXT.JO,Textainer Group Holdings Limited,59000.00,801.00,0.01,716.09
MTM.JO,Momentum Metropolitan Holdings Limited,1960.00,-28.00,-0.01,6261.98
LBH.JO,Liberty Holdings Limited,10477.00,277.00,0.03,2834.33
NTCP.JO,Netcare Limited,8800.00,0.00,0.00,16206.26
RDF.JO,Redefine Properties Limited,417.00,12.00,0.03,828.69
AVI.JO,AVI Limited,7450.00,81.00,0.01,1498.19
INL.JO,Investec Group,9030.50,-49.50,-0.01,1076.23
PIK.JO,Pick n Pay Stores Limited,4979.00,99.00,0.02,2172.13
BYI.JO,Bytes Technology Group plc,9285.00,505.00,0.06,4805.90
TRU.JO,Truworths International Limited,5820.00,68.00,0.01,1220.38
MTH.JO,Motus Holdings Limited,11315.00,245.00,0.02,1019.37
MKR.JO,"Montauk Renewables, Inc.",15201.00,18.00,0.00,N/A
TKG.JO,Telkom SA SOC Limited,4145.00,-20.00,0.00,772.23
NTC.JO,Netcare Limited,1502.00,16.00,0.01,2766.11
ITE.JO,Italtile Limited,1639.00,33.00,0.02,1121.07
